_also_see	also see
_also_see_reverse	inverse of also see
_derivationally_related_form	derivationally related form
_derivationally_related_form_reverse	inverse of derivationally related form
_has_part	has part
_has_part_reverse	inverse of has part
_hypernym	hypernym
_hypernym_reverse	inverse of hypernym
_instance_hypernym	instance hypernym
_instance_hypernym_reverse	inverse of instance hypernym
_member_meronym	member meronym
_member_meronym_reverse	inverse of member meronym
_member_of_domain_region	member of domain region
_member_of_domain_region_reverse	inverse of member of domain region
_member_of_domain_usage	member of domain usage
_member_of_domain_usage_reverse	inverse of member of domain usage
_similar_to	similar to
_similar_to_reverse	inverse of similar to
_synset_domain_topic_of	synset domain topic of
_synset_domain_topic_of_reverse	inverse of synset domain topic of
_verb_group	verb group
_verb_group_reverse	inverse of verb group
